YEAR,Number of Cyclones,month
2000,4,ANNUAL
2001,4,ANNUAL
2002,2,ANNUAL
2003,3,ANNUAL
2004,4,ANNUAL
2005,4,ANNUAL
2006,3,ANNUAL
2007,4,ANNUAL
2008,4,ANNUAL
2009,4,ANNUAL
2010,4,ANNUAL
2011,2,ANNUAL
2012,2,ANNUAL
1951,0,Jan-Feb
1952,0,Jan-Feb
1953,0,Jan-Feb
1954,0,Jan-Feb
1955,0,Jan-Feb
1956,0,Jan-Feb
1957,0,Jan-Feb
1958,0,Jan-Feb
1959,0,Jan-Feb
1960,0,Jan-Feb
1961,0,Jan-Feb
1962,0,Jan-Feb
1963,0,Jan-Feb
1964,0,Jan-Feb
1965,0,Jan-Feb
1966,0,Jan-Feb
1967,1,Jan-Feb
1968,0,Jan-Feb
1969,0,Jan-Feb
1970,0,Jan-Feb
1971,0,Jan-Feb
1972,0,Jan-Feb
1973,0,Jan-Feb
1974,0,Jan-Feb
1975,0,Jan-Feb
1976,0,Jan-Feb
1977,0,Jan-Feb
1978,0,Jan-Feb
1979,0,Jan-Feb
1980,0,Jan-Feb
1981,0,Jan-Feb
1982,0,Jan-Feb
1983,0,Jan-Feb
1984,0,Jan-Feb
1985,0,Jan-Feb
1986,0,Jan-Feb
1987,1,Jan-Feb
1988,0,Jan-Feb
1989,0,Jan-Feb
1990,0,Jan-Feb
1991,0,Jan-Feb
1992,0,Jan-Feb
1993,0,Jan-Feb
1994,0,Jan-Feb
1995,0,Jan-Feb
1996,0,Jan-Feb
1997,0,Jan-Feb
1998,0,Jan-Feb
1999,1,Jan-Feb
2000,0,Jan-Feb
2001,0,Jan-Feb
2002,0,Jan-Feb
2003,0,Jan-Feb
2004,0,Jan-Feb
2005,1,Jan-Feb
2006,0,Jan-Feb
2007,0,Jan-Feb
2008,0,Jan-Feb
2009,0,Jan-Feb
2010,0,Jan-Feb
2011,0,Jan-Feb
2012,0,Jan-Feb
1951,1,Mar-May
1952,1,Mar-May
1953,1,Mar-May
1954,0,Mar-May
1955,1,Mar-May
1956,2,Mar-May
1957,0,Mar-May
1958,1,Mar-May
1959,1,Mar-May
1960,2,Mar-May
1961,3,Mar-May
1962,1,Mar-May
1963,2,Mar-May
1964,1,Mar-May
1965,2,Mar-May
1966,1,Mar-May
1967,1,Mar-May
1968,1,Mar-May
1969,1,Mar-May
1970,2,Mar-May
1971,1,Mar-May
1972,1,Mar-May
1973,0,Mar-May
1974,2,Mar-May
1975,2,Mar-May
1976,2,Mar-May
1977,1,Mar-May
1978,1,Mar-May
1979,1,Mar-May
1980,0,Mar-May
1981,0,Mar-May
1982,2,Mar-May
1983,0,Mar-May
1984,0,Mar-May
1985,2,Mar-May
1986,0,Mar-May
1987,0,Mar-May
1988,0,Mar-May
1989,1,Mar-May
1990,1,Mar-May
1991,2,Mar-May
